approach_displacement	approach_deflection	retract_displacement	retract_deflection
27.34068	-3.7442809999999995	27.46793	-1.369859
27.4218	-3.815311	27.54906	-1.451036
27.50293	-3.866046	27.63018	-1.4408889999999999
27.58406	-3.906635	27.71131	-1.5525069999999999
27.66519	-3.88634	27.79244	-1.582948
27.74632	-3.977664	27.87357	-1.5930950000000001
27.82745	-4.109577	27.9547	-1.694566
27.90858	-4.048694	28.03583	-1.7047130000000001
27.98971	-4.089283	28.11696	-1.8366259999999999
28.07084	-4.200901	28.19809	-1.846773
28.15197	-4.2516359999999995	28.27922	-1.9279499999999998
28.2331	-4.2516359999999995	28.36035	-1.9685380000000001
28.31422	-4.373401	28.44147	-2.029421
28.39535	-4.282078	28.5226	-2.049715
28.47648	-4.373401	28.60373	-2.090303
28.55761	-4.434284	28.68486	-2.191774
28.63874	-4.4748719999999995	28.76599	-2.283098
28.71987	-4.525608	28.84712	-2.262804
28.801	-4.535755	28.92825	-2.425158
28.88213	-4.637226	29.00938	-2.384569
28.96326	-4.637226	29.09051	-2.404863
29.04439	-4.637226	29.17164	-2.435305
29.12551	-4.758991	29.25277	-2.546923
29.20664	-4.809727	29.33389	-2.6382470000000002
29.28777	-4.8198739999999995	29.41502	-2.6078050000000004
29.3689	-4.8198739999999995	29.49615	-2.658541
29.45003	-4.911198	29.57728	-2.7600119999999997
29.53116	-5.032963	29.65841	-2.8208949999999997
29.61229	-5.0532569999999994	29.73954	-2.851336
29.69342	-5.012669	29.82067	-2.962954
29.77455	-5.0431099999999995	29.9018	-3.0441309999999997
29.85568	-5.124287000000001	29.98293	-3.0136900000000004
29.93681	-5.246052	30.06406	-3.084719
30.01793	-5.164874999999999	30.14519	-3.115161
30.09906	-5.1750229999999995	30.22631	-3.287661
30.18019	-5.317082	30.30744	-3.338397
30.26132	-5.49973	30.38857	-3.389132
30.34245	-5.4287	30.4697	-3.338397
30.42358	-5.459141	30.55083	-3.419574
30.50471	-5.357670000000001	30.63196	-3.378985
30.58584	-5.479435	30.71309	-3.318103
30.66697	-5.540318	30.79422	-3.4297210000000002
30.7481	-5.520023999999999	30.87535	-3.419574
30.82923	-5.692525000000001	30.95648	-3.4601620000000004
30.91035	-5.641789999999999	31.03761	-3.5210449999999995
30.99148	-5.702672	31.11873	-3.541339
31.07261	-5.74326	31.19986	-3.581927
31.15374	-5.895467	31.28099	-3.632663
31.23487	-5.783849	31.36212	-3.663104
31.316	-5.976644	31.44325	-3.734134
31.39713	-6.047673	31.52438	-3.764575
31.47826	-5.9462019999999995	31.60551	-3.795016
31.55939	-6.017232	31.68664	-3.815311
31.64052	-6.138997000000001	31.76777	-3.88634
31.72165	-6.138997000000001	31.8489	-3.9675170000000004
31.80277	-6.098409	31.93003	-4.0283999999999995
31.8839	-6.159291	32.01115	-4.089283
